White,Black,Result,Round,Date,Opening,View,Unnamed: 0,Name,Name.1,ELO,Points
,,,,,,,,,"FM Osmanbegovic, Suad",2307.0,2.0
,,,,,,,,,"FM Vombek, Dani",2295.0,2.0
,,,,,,,,,"FM Muha, Miljenko",2295.0,2.0
,,,,,,,,,Show full players list,,
"Fedorchuk, S","Stephan, V",1-0,1.1,"Sep 30, 2020","B84 Sicilian, Scheveningen (Paulsen), classical variation",,,,,,
"Lamard, G","Maurizzi, M",1-0,1.2,"Sep 30, 2020",B30 Sicilian defence,,,,,,
"Guliyev, N","Loiseau, Q",1-0,1.3,"Sep 30, 2020","C86 Ruy Lopez, Worrall attack",,,,,,
"David, A","Vlachos, A",1-0,1.4,"Sep 30, 2020","C90 Ruy Lopez, closed (with ...d6)",,,,,,
"Duboue, P","Dardha, D",½-½,1.5,"Sep 30, 2020","B22 Sicilian, Alapin's variation (2.c3)",,,,,,
"Maurizzi, M","Fedorchuk, S",1-0,2.1,"Sep 30, 2020","E46 Nimzo-Indian, 4.e3 O-O",,,,,,
"Dardha, D","Guliyev, N",½-½,2.2,"Sep 30, 2020",C46 Three knights game,,,,,,
"Loiseau, Q","Lamard, G",½-½,2.3,"Sep 30, 2020",B12 Caro-Kann defence,,,,,,
"David, A","Duboue, P",½-½,2.4,"Sep 30, 2020",C60 Ruy Lopez (Spanish opening),,,,,,
"Vlachos, A","Stephan, V",½-½,2.5,"Sep 30, 2020","B23 Sicilian, closed",,,,,,
"Lamard, G","Dardha, D",0-1,3.1,"Oct 01, 2020","B23 Sicilian, closed",,,,,,
"Stephan, V","Maurizzi, M",0-1,3.2,"Oct 01, 2020","E46 Nimzo-Indian, 4.e3 O-O",,,,,,
"Duboue, P","Vlachos, A",1-0,3.3,"Oct 01, 2020",C45 Scotch game,,,,,,
"Fedorchuk, S","Loiseau, Q",1-0,3.4,"Oct 01, 2020",B40 Sicilian defence,,,,,,
"Guliyev, N","David, A",½-½,3.5,"Oct 01, 2020","B17 Caro-Kann, Steinitz variation",,,,,,
"Dardha, D","Fedorchuk, S",1-0,4.1,"Oct 01, 2020","E32 Nimzo-Indian, classical variation",,,,,,
"Duboue, P","Guliyev, N",½-½,4.2,"Oct 01, 2020",C41 Philidor's defence,,,,,,
"Vlachos, A","Maurizzi, M",0-1,4.3,"Oct 01, 2020",A03 Bird's opening,,,,,,
"David, A","Lamard, G",1-0,4.4,"Oct 01, 2020","D11 Queen's Gambit Declined Slav, 3.Nf3",,,,,,
"Loiseau, Q","Stephan, V",½-½,4.5,"Oct 01, 2020",C42 Petrov's defence,,,,,,
"Maurizzi, M","Loiseau, Q",0-1,5.1,"Oct 02, 2020","B45 Sicilian, Taimanov variation",,,,,,
"Stephan, V","Dardha, D",0-1,5.2,"Oct 02, 2020",A47 Queen's Indian defence,,,,,,
"Lamard, G","Duboue, P",½-½,5.3,"Oct 02, 2020","A07 Reti, King's Indian attack (Barcza system)",,,,,,
"Fedorchuk, S","David, A",1-0,5.4,"Oct 02, 2020",B15 Caro-Kann defence,,,,,,
"Guliyev, N","Vlachos, A",1-0,5.5,"Oct 02, 2020","C49 Four knights, double Ruy Lopez",,,,,,
"Dardha, D","Maurizzi, M",½-½,6.1,"Oct 02, 2020",A10 English opening,,,,,,
"Guliyev, N","Lamard, G",½-½,6.2,"Oct 02, 2020",B15 Caro-Kann defence,,,,,,
"David, A","Stephan, V",1-0,6.3,"Oct 02, 2020",E00 Queen's pawn game,,,,,,
"Duboue, P","Fedorchuk, S",0-1,6.4,"Oct 02, 2020","B22 Sicilian, Alapin's variation (2.c3)",,,,,,
"Vlachos, A","Loiseau, Q",½-½,6.5,"Oct 02, 2020","A07 Reti, King's Indian attack (Barcza system)",,,,,,
"Maurizzi, M","David, A",½-½,7.1,"Oct 03, 2020",A46 Queen's pawn game,,,,,,
"Loiseau, Q","Dardha, D",½-½,7.2,"Oct 03, 2020","B35 Sicilian, accelerated fianchetto, modern variation with Bc4",,,,,,
"Fedorchuk, S","Guliyev, N",½-½,7.3,"Oct 03, 2020","B84 Sicilian, Scheveningen (Paulsen), classical variation",,,,,,
"Stephan, V","Duboue, P",1-0,7.4,"Oct 03, 2020","D27 Queen's Gambit Accepted, classical, 6...a6",,,,,,
"Lamard, G","Vlachos, A",1-0,7.5,"Oct 03, 2020",B30 Sicilian defence,,,,,,
"Duboue, P","Maurizzi, M",0-1,8.1,"Oct 03, 2020","B22 Sicilian, Alapin's variation (2.c3)",,,,,,
"Vlachos, A","Dardha, D",½-½,8.2,"Oct 03, 2020","A36 English, symmetrical variation",,,,,,
"David, A","Loiseau, Q",1-0,8.3,"Oct 03, 2020",B30 Sicilian defence,,,,,,
"Lamard, G","Fedorchuk, S",½-½,8.4,"Oct 03, 2020",E00 Queen's pawn game,,,,,,
"Guliyev, N","Stephan, V",½-½,8.5,"Oct 03, 2020","B84 Sicilian, Scheveningen (Paulsen), classical variation",,,,,,
"Maurizzi, M","Guliyev, N",0-1,9.1,"Oct 04, 2020","C24 Bishop's opening, Berlin defence",,,,,,
"Dardha, D","David, A",½-½,9.2,"Oct 04, 2020",A47 Queen's Indian defence,,,,,,
"Stephan, V","Lamard, G",½-½,9.3,"Oct 04, 2020",A46 Queen's pawn game,,,,,,
"Fedorchuk, S","Vlachos, A",1-0,9.4,"Oct 04, 2020","B72 Sicilian, dragon, 6.Be3",,,,,,
"Loiseau, Q","Duboue, P",1-0,9.5,"Oct 04, 2020",C60 Ruy Lopez (Spanish opening),,,,,,
"Gauri, S","Dragun, K",0-1,1.1,"Sep 30, 2020","A07 Reti, King's Indian attack (Barcza system)",,,,,,
"Ostrovskiy, A","Fernandez, D",1-0,1.2,"Sep 30, 2020","A37 English, symmetrical variation",,,,,,
"Mista, A","Stremavicius, T",1-0,1.3,"Sep 30, 2020","B83 Sicilian, Scheveningen, 6.Be2",,,,,,
"Mishra, A","Liang, J",½-½,1.4,"Sep 30, 2020","C16 French, Winawer, advance variation",,,,,,
"Niemann, H","Daggupati, B",1-0,1.5,"Sep 30, 2020",A09 Reti opening,,,,,,
"Gauri, S","Ostrovskiy, A",0-1,2.1,"Oct 01, 2020","D13 Queen's Gambit Declined Slav, exchange variation",,,,,,
"Liang, J","Niemann, H",½-½,2.2,"Oct 01, 2020",C60 Ruy Lopez (Spanish opening),,,,,,
"Stremavicius, T","Mishra, A",½-½,2.3,"Oct 01, 2020",A03 Bird's opening,,,,,,
"Fernandez, D","Mista, A",1-0,2.4,"Oct 01, 2020","B75 Sicilian, dragon, Yugoslav attack",,,,,,
"Dragun, K","Daggupati, B",½-½,2.5,"Oct 01, 2020","D31 Queen's Gambit Declined, 3.Nc3",,,,,,
"Mista, A","Gauri, S",0-1,3.1,"Oct 01, 2020",B15 Caro-Kann defence,,,,,,
"Ostrovskiy, A","Dragun, K",½-½,3.2,"Oct 01, 2020","B52 Sicilian, Canal-Sokolsky attack, 3...Bd7",,,,,,
"Mishra, A","Fernandez, D",½-½,3.3,"Oct 01, 2020","B90 Sicilian, Najdorf",,,,,,
"Niemann, H","Stremavicius, T",1-0,3.4,"Oct 01, 2020","B08 Pirc, classical (two knights) system",,,,,,
"Daggupati, B","Liang, J",1-0,3.5,"Oct 01, 2020","C78 Ruy Lopez, 5.O-O",,,,,,
"Gauri, S","Mishra, A",½-½,4.1,"Oct 02, 2020",A05 Reti opening,,,,,,
"Stremavicius, T","Daggupati, B",0-1,4.2,"Oct 02, 2020","A28 English, four knights system",,,,,,
"Fernandez, D","Niemann, H",½-½,4.3,"Oct 02, 2020",C46 Three knights game,,,,,,
"Dragun, K","Liang, J",1-0,4.4,"Oct 02, 2020",B10 Caro-Kann defence,,,,,,
"Ostrovskiy, A","Mista, A",0-1,4.5,"Oct 02, 2020","C48 Four knights, Spanish variation",,,,,,
"Niemann, H","Gauri, S",1-0,5.1,"Oct 02, 2020","E15 Queen's Indian, 4.g3",,,,,,
"Mishra, A","Ostrovskiy, A",½-½,5.2,"Oct 02, 2020","C19 French, Winawer, advance, 6...Ne7",,,,,,
"Mista, A","Dragun, K",½-½,5.3,"Oct 02, 2020","A15 English, 1...Nf6 (Anglo-Indian defense)",,,,,,
"Daggupati, B","Fernandez, D",1-0,5.4,"Oct 02, 2020","B90 Sicilian, Najdorf",,,,,,
"Liang, J","Stremavicius, T",½-½,5.5,"Oct 02, 2020",A80 Dutch,,,,,,
"Gauri, S","Daggupati, B",0-1,6.1,"Oct 03, 2020",A13 English opening,,,,,,
"Fernandez, D","Liang, J",1-0,6.2,"Oct 03, 2020","B13 Caro-Kann, exchange variation",,,,,,
"Dragun, K","Stremavicius, T",½-½,6.3,"Oct 03, 2020","D35 Queen's Gambit Declined, 3...Nf6",,,,,,
"Ostrovskiy, A","Niemann, H",0-1,6.4,"Oct 03, 2020",C55 Two knights defence,,,,,,
"Mista, A","Mishra, A",1-0,6.5,"Oct 03, 2020","B49 Sicilian, Taimanov variation",,,,,,
"Liang, J","Gauri, S",0-1,7.1,"Oct 03, 2020","C65 Ruy Lopez, Berlin defence",,,,,,
"Niemann, H","Mista, A",½-½,7.2,"Oct 03, 2020",D30 Queen's gambit declined,,,,,,
"Daggupati, B","Ostrovskiy, A",½-½,7.3,"Oct 03, 2020","C02 French, advance variation",,,,,,
"Mishra, A","Dragun, K",0-1,7.4,"Oct 03, 2020","B90 Sicilian, Najdorf",,,,,,
"Stremavicius, T","Fernandez, D",½-½,7.5,"Oct 03, 2020","D14 Queen's Gambit Declined Slav, exchange variation, 6.Bf4 Bf5",,,,,,
"Gauri, S","Stremavicius, T",½-½,8.1,"Oct 04, 2020",D10 Queen's Gambit Declined Slav defence,,,,,,
"Dragun, K","Fernandez, D",1-0,8.2,"Oct 04, 2020","D45 Queen's Gambit Declined semi-Slav, 5.e3",,,,,,
"Ostrovskiy, A","Liang, J",1-0,8.3,"Oct 04, 2020",B10 Caro-Kann defence,,,,,,
"Mista, A","Daggupati, B",½-½,8.4,"Oct 04, 2020",B33 Sicilian defence,,,,,,
"Mishra, A","Niemann, H",0-1,8.5,"Oct 04, 2020",C55 Two knights defence,,,,,,
"Fernandez, D","Gauri, S",½-½,9.1,"Oct 05, 2020","C67 Ruy Lopez, Berlin defence, open variation",,,,,,
"Daggupati, B","Mishra, A",½-½,9.2,"Oct 05, 2020","B87 Sicilian, Sozin with ...a6 and ...b5",,,,,,
"Liang, J","Mista, A",0-1,9.3,"Oct 05, 2020","C77 Ruy Lopez, Morphy defence",,,,,,
"Stremavicius, T","Ostrovskiy, A",½-½,9.4,"Oct 05, 2020",D10 Queen's Gambit Declined Slav defence,,,,,,
"Niemann, H","Dragun, K",½-½,9.5,"Oct 05, 2020","E92 King's Indian, classical variation",,,,,,
"Stearman, J","Andrianov, N",1-0,1.1,"Sep 30, 2020",A45 Queen's pawn game,,,,,,
"Martin del Campo, R","Matros, A",1-0,1.2,"Sep 30, 2020","C73 Ruy Lopez, modern Steinitz defence, Richter variation",,,,,,
"Krykun, Y","Velikanov, A",½-½,1.3,"Sep 30, 2020",B40 Sicilian defence,,,,,,
"Francisco, R","Li, E",½-½,1.4,"Sep 30, 2020",A20 English opening,,,,,,
"Adamson, R","Vivekananthan, A",½-½,1.5,"Sep 30, 2020",C42 Petrov's defence,,,,,,
"Stearman, J","Martin del Campo, R",½-½,2.1,"Oct 01, 2020",A43 Old Benoni defence,,,,,,
"Li, E","Adamson, R",½-½,2.2,"Oct 01, 2020",E20 Nimzo-Indian defence,,,,,,
"Velikanov, A","Francisco, R",1-0,2.3,"Oct 01, 2020","B34 Sicilian, accelerated fianchetto, exchange variation",,,,,,
"Matros, A","Krykun, Y",½-½,2.4,"Oct 01, 2020","C26 Vienna, Falkbeer variation",,,,,,
"Andrianov, N","Vivekananthan, A",½-½,2.5,"Oct 01, 2020",A05 Reti opening,,,,,,
"Krykun, Y","Stearman, J",½-½,3.1,"Oct 01, 2020",D10 Queen's Gambit Declined Slav defence,,,,,,
"Martin del Campo, R","Andrianov, N",½-½,3.2,"Oct 01, 2020",C42 Petrov's defence,,,,,,
"Francisco, R","Matros, A",0-1,3.3,"Oct 01, 2020",A20 English opening,,,,,,
"Adamson, R","Velikanov, A",½-½,3.4,"Oct 01, 2020",B30 Sicilian defence,,,,,,
"Vivekananthan, A","Li, E",1-0,3.5,"Oct 01, 2020","B53 Sicilian, Chekhover variation",,,,,,
"Stearman, J","Francisco, R",1-0,4.1,"Oct 02, 2020","E15 Queen's Indian, 4.g3",,,,,,
"Velikanov, A","Vivekananthan, A",1-0,4.2,"Oct 02, 2020",C42 Petrov's defence,,,,,,
"Matros, A","Adamson, R",½-½,4.3,"Oct 02, 2020",B20 Sicilian defence,,,,,,
"Andrianov, N","Li, E",½-½,4.4,"Oct 02, 2020",A06 Reti opening,,,,,,
"Martin del Campo, R","Krykun, Y",0-1,4.5,"Oct 02, 2020","C65 Ruy Lopez, Berlin defence",,,,,,
"Adamson, R","Stearman, J",0-1,5.1,"Oct 02, 2020",C55 Two knights defence,,,,,,
"Francisco, R","Martin del Campo, R",0-1,5.2,"Oct 02, 2020","A26 English, closed system",,,,,,
"Krykun, Y","Andrianov, N",½-½,5.3,"Oct 02, 2020","B31 Sicilian, Nimzovich-Rossolimo attack (with ...g6, without ...d6)",,,,,,
"Vivekananthan, A","Matros, A",0-1,5.4,"Oct 02, 2020","D35 Queen's Gambit Declined, 3...Nf6",,,,,,
"Li, E","Velikanov, A",½-½,5.5,"Oct 02, 2020",A50 Queen's pawn game,,,,,,
"Stearman, J","Vivekananthan, A",0-1,6.1,"Oct 03, 2020","E06 Catalan, closed, 5.Nf3",,,,,,
"Matros, A","Li, E",½-½,6.2,"Oct 03, 2020",B20 Sicilian defence,,,,,,
"Andrianov, N","Velikanov, A",½-½,6.3,"Oct 03, 2020","A49 King's Indian, fianchetto without c4",,,,,,
"Martin del Campo, R","Adamson, R",½-½,6.4,"Oct 03, 2020","C69 Ruy Lopez, exchange variation, 5.O-O",,,,,,
"Krykun, Y","Francisco, R",1-0,6.5,"Oct 03, 2020","A36 English, symmetrical variation",,,,,,
"Li, E","Stearman, J",0-1,7.1,"Oct 03, 2020","E06 Catalan, closed, 5.Nf3",,,,,,
"Adamson, R","Krykun, Y",0-1,7.2,"Oct 03, 2020","B13 Caro-Kann, exchange variation",,,,,,
"Vivekananthan, A","Martin del Campo, R",½-½,7.3,"Oct 03, 2020","B23 Sicilian, closed",,,,,,
"Francisco, R","Andrianov, N",½-½,7.4,"Oct 03, 2020","B31 Sicilian, Nimzovich-Rossolimo attack (with ...g6, without ...d6)",,,,,,
"Velikanov, A","Matros, A",½-½,7.5,"Oct 03, 2020",C51 Evans gambit declined,,,,,,
"Stearman, J","Velikanov, A",½-½,8.1,"Oct 04, 2020","A15 English, 1...Nf6 (Anglo-Indian defense)",,,,,,
"Andrianov, N","Matros, A",½-½,8.2,"Oct 04, 2020",D30 Queen's gambit declined,,,,,,
"Martin del Campo, R","Li, E",0-1,8.3,"Oct 04, 2020","B94 Sicilian, Najdorf, 6.Bg5",,,,,,
"Krykun, Y","Vivekananthan, A",½-½,8.4,"Oct 04, 2020",A05 Reti opening,,,,,,
"Francisco, R","Adamson, R",½-½,8.5,"Oct 04, 2020","B13 Caro-Kann, exchange variation",,,,,,
"Matros, A","Stearman, J",0-1,9.1,"Oct 05, 2020",B20 Sicilian defence,,,,,,
"Vivekananthan, A","Francisco, R",1-0,9.2,"Oct 05, 2020","B35 Sicilian, accelerated fianchetto, modern variation with Bc4",,,,,,
"Li, E","Krykun, Y",0-1,9.3,"Oct 05, 2020",A40 Queen's pawn,,,,,,
"Velikanov, A","Martin del Campo, R",½-½,9.4,"Oct 05, 2020",B50 Sicilian,,,,,,
"Adamson, R","Andrianov, N",½-½,9.5,"Oct 05, 2020",C42 Petrov's defence,,,,,,
"Grigoryan, K","Shirov, A",1-0,1,"Sep 30, 2020","D12 Queen's Gambit Declined Slav, 4.e3 Bf5",,,,,,
"Shirov, A","Grigoryan, K",1-0,2,"Sep 30, 2020","C95 Ruy Lopez, closed, Breyer, 10.d4",,,,,,
"Grigoryan, K","Shirov, A",1-0,3,"Sep 30, 2020","D12 Queen's Gambit Declined Slav, 4.e3 Bf5",,,,,,
"Shirov, A","Grigoryan, K",1-0,4,"Sep 30, 2020","C65 Ruy Lopez, Berlin defence",,,,,,
"Grigoryan, K","Shirov, A",½-½,5,"Oct 01, 2020","C78 Ruy Lopez, 5.O-O",,,,,,
"Shirov, A","Grigoryan, K",½-½,6,"Oct 01, 2020","B48 Sicilian, Taimanov variation",,,,,,
"Grigoryan, K","Shirov, A",0-1,7,"Oct 01, 2020","D11 Queen's Gambit Declined Slav, 3.Nf3",,,,,,
"Shirov, A","Grigoryan, K",1-0,8,"Oct 01, 2020",B06 Robatsch (modern) defence,,,,,,
"Grigoryan, K","Shirov, A",1-0,9,"Oct 02, 2020","C78 Ruy Lopez, 5.O-O",,,,,,
"Shirov, A","Grigoryan, K",½-½,10,"Oct 02, 2020","C97 Ruy Lopez, closed, Chigorin defence",,,,,,
"Grigoryan, K","Shirov, A",0-1,11,"Oct 02, 2020","D12 Queen's Gambit Declined Slav, 4.e3 Bf5",,,,,,
"Shirov, A","Grigoryan, K",1-0,12,"Oct 02, 2020","B35 Sicilian, accelerated fianchetto, modern variation with Bc4",,,,,,
"Basso, P","Pasini, N",1-0,1.1,"Sep 26, 2020",D02 Queen's pawn game,,,,,,
"Moroni, L","Simonetto, A",1-0,1.2,"Sep 26, 2020","D31 Queen's Gambit Declined, 3.Nc3",,,,,,
"Gueci, T","Heberla, B",0-1,1.3,"Sep 26, 2020","C77 Ruy Lopez, Morphy defence",,,,,,
"Bonade, M","Gumularz, S",0-1,1.4,"Sep 26, 2020","B66 Sicilian, Richter-Rauzer, Rauzer attack, 7...a6",,,,,,
"Valsecchi, A","Bucher, G",1-0,1.5,"Sep 26, 2020","D31 Queen's Gambit Declined, 3.Nc3",,,,,,
"Tencati, G","Blohberger, F",0-1,1.6,"Sep 26, 2020","E33 Nimzo-Indian, classical, 4...Nc6",,,,,,
"Bellia, F","Marchesich, G",1-0,1.7,"Sep 26, 2020",C70 Ruy Lopez,,,,,,
"Lunn, M","Barp, A",0-1,1.8,"Sep 26, 2020",D30 Queen's gambit declined,,,,,,
"Barp, A","Basso, P",½-½,2.1,"Sep 27, 2020",E11 Bogo-Indian defence,,,,,,
"Heberla, B","Bellia, F",1-0,2.2,"Sep 27, 2020","E92 King's Indian, classical variation",,,,,,
"Fecker, N","Moroni, L",0-1,2.3,"Sep 27, 2020","C87 Ruy Lopez, closed, Averbach variation",,,,,,
"Gumularz, S","Seresin, F",1-0,2.4,"Sep 27, 2020","C65 Ruy Lopez, Berlin defence",,,,,,
"Lumachi, G","Valsecchi, A",0-1,2.5,"Sep 27, 2020","E62 King's Indian, fianchetto variation",,,,,,
"Blohberger, F","Fischer, D",1-0,2.6,"Sep 27, 2020",E20 Nimzo-Indian defence,,,,,,
"Pasini, N","Cumming, R",½-½,2.7,"Sep 27, 2020",C45 Scotch game,,,,,,
"Bordignon, A","Gueci, T",1-0,2.8,"Sep 27, 2020",E20 Nimzo-Indian defence,,,,,,
"Valsecchi, A","Heberla, B",1-0,3.1,"Sep 28, 2020","B60 Sicilian, Richter-Rauzer",,,,,,
"Moroni, L","Gumularz, S",1-0,3.2,"Sep 28, 2020",E20 Nimzo-Indian defence,,,,,,
"Basso, P","Blohberger, F",0-1,3.3,"Sep 28, 2020",A46 Queen's pawn game,,,,,,
"Cumming, R","Barp, A",½-½,3.4,"Sep 28, 2020","D35 Queen's Gambit Declined, 3...Nf6",,,,,,
"Bellia, F","Lumachi, G",1-0,3.5,"Sep 28, 2020",B02 Alekhine's defence,,,,,,
"Seresin, F","Marchesich, G",½-½,3.6,"Sep 28, 2020","E81 King's Indian, Saemisch, 5...O-O",,,,,,
"Tencati, G","Fecker, N",0-1,3.7,"Sep 28, 2020","A59 Benko gambit, 7.e4",,,,,,
"Fischer, D","Bordignon, A",0-1,3.8,"Sep 28, 2020","B90 Sicilian, Najdorf",,,,,,
"Blohberger, F","Moroni, L",½-½,4.1,"Sep 29, 2020","C78 Ruy Lopez, 5.O-O",,,,,,
"Gumularz, S","Valsecchi, A",0-1,4.2,"Sep 29, 2020",A16 English opening,,,,,,
"Heberla, B","Cumming, R",1-0,4.3,"Sep 29, 2020",A16 English opening,,,,,,
"Fecker, N","Bellia, F",0-1,4.4,"Sep 29, 2020","C88 Ruy Lopez, closed",,,,,,
"Barp, A","Bordignon, A",1-0,4.5,"Sep 29, 2020",A58 Benko gambit accepted,,,,,,
"Bucher, G","Basso, P",0-1,4.6,"Sep 29, 2020","B11 Caro-Kann, two knights, 3...Bg4",,,,,,
"Simonetto, A","Andolfatto, M",0-1,4.7,"Sep 29, 2020",A06 Reti opening,,,,,,
"Marchesich, G","Fischer, D",1-0,4.8,"Sep 29, 2020","C78 Ruy Lopez, 5.O-O",,,,,,
"Valsecchi, A","Blohberger, F",1-0,5.1,"Sep 29, 2020","E21 Nimzo-Indian, three knights variation",,,,,,
"Moroni, L","Heberla, B",½-½,5.2,"Sep 29, 2020","D35 Queen's Gambit Declined, 3...Nf6",,,,,,
"Bellia, F","Barp, A",½-½,5.3,"Sep 29, 2020",B10 Caro-Kann defence,,,,,,
"Andolfatto, M","Marchesich, G",1-0,5.4,"Sep 29, 2020","A15 English, 1...Nf6 (Anglo-Indian defense)",,,,,,
"Basso, P","Fecker, N",1-0,5.5,"Sep 29, 2020","D79 Neo-Gruenfeld, 6.O-O, main line",,,,,,
"Cumming, R","Gumularz, S",½-½,5.6,"Sep 29, 2020","E04 Catalan, open, 5.Nf3",,,,,,
"Bordignon, A","Blake, J",½-½,5.7,"Sep 29, 2020","D36 Queen's Gambit Declined, exchange, positional line, 6.Qc2",,,,,,
"Tencati, G","Seresin, F",0-1,5.8,"Sep 29, 2020",B12 Caro-Kann defence,,,,,,
"Moroni, L","Valsecchi, A",½-½,6.1,"Sep 30, 2020","D33 Queen's Gambit Declined, Tarrasch, Schlechter-Rubinstein system",,,,,,
"Andolfatto, M","Basso, P",0-1,6.2,"Sep 30, 2020","A11 English, Caro-Kann defensive system",,,,,,
"Heberla, B","Barp, A",1-0,6.3,"Sep 30, 2020",D30 Queen's gambit declined,,,,,,
"Blohberger, F","Bellia, F",½-½,6.4,"Sep 30, 2020",C46 Three knights game,,,,,,
"Gumularz, S","Marchesich, G",1-0,6.5,"Sep 30, 2020",A45 Queen's pawn game,,,,,,
"Blake, J","Seresin, F",½-½,6.6,"Sep 30, 2020","B19 Caro-Kann, classical, 7...Nd7",,,,,,
"Bordignon, A","Cumming, R",0-1,6.7,"Sep 30, 2020",A04 Reti opening,,,,,,
"Fecker, N","Lunn, M",1-0,6.8,"Sep 30, 2020","B61 Sicilian, Richter-Rauzer, Larsen variation, 7.Qd2",,,,,,
"Valsecchi, A","Basso, P",1-0,7.1,"Oct 01, 2020",B06 Robatsch (modern) defence,,,,,,
"Blohberger, F","Heberla, B",½-½,7.2,"Oct 01, 2020","C10 French, Paulsen variation",,,,,,
"Bellia, F","Moroni, L",0-1,7.3,"Oct 01, 2020","C72 Ruy Lopez, modern Steinitz defence, 5.O-O",,,,,,
"Barp, A","Gumularz, S",0-1,7.4,"Oct 01, 2020",A41 Queen's Pawn,,,,,,
"Cumming, R","Andolfatto, M",1-0,7.5,"Oct 01, 2020","C48 Four knights, Spanish variation",,,,,,
"Seresin, F","Fecker, N",1-0,7.6,"Oct 01, 2020","A35 English, symmetrical variation",,,,,,
"Simonetto, A","Blake, J",1-0,7.7,"Oct 01, 2020",A06 Reti opening,,,,,,
"Marchesich, G","Lumachi, G",½-½,7.8,"Oct 01, 2020","C67 Ruy Lopez, Berlin defence, open variation",,,,,,
"Cumming, R","Valsecchi, A",0-1,8.1,"Oct 02, 2020","C03 French, Tarrasch",,,,,,
"Basso, P","Moroni, L",½-½,8.2,"Oct 02, 2020","D14 Queen's Gambit Declined Slav, exchange variation, 6.Bf4 Bf5",,,,,,
"Heberla, B","Gumularz, S",1-0,8.3,"Oct 02, 2020","D37 Queen's Gambit Declined, 4.Nf3",,,,,,
"Seresin, F","Blohberger, F",½-½,8.4,"Oct 02, 2020",A17 English opening,,,,,,
"Bonade, M","Bellia, F",0-1,8.5,"Oct 02, 2020",C28 Vienna game,,,,,,
"Barp, A","Simonetto, A",½-½,8.6,"Oct 02, 2020",A50 Queen's pawn game,,,,,,
"Andolfatto, M","Tencati, G",0-1,8.7,"Oct 02, 2020","D12 Queen's Gambit Declined Slav, 4.e3 Bf5",,,,,,
"Fecker, N","Marchesich, G",½-½,8.8,"Oct 02, 2020","C72 Ruy Lopez, modern Steinitz defence, 5.O-O",,,,,,
"Valsecchi, A","Bellia, F",½-½,9.1,"Oct 03, 2020","C97 Ruy Lopez, closed, Chigorin defence",,,,,,
"Basso, P","Heberla, B",1-0,9.2,"Oct 03, 2020","D37 Queen's Gambit Declined, 4.Nf3",,,,,,
"Moroni, L","Seresin, F",½-½,9.3,"Oct 03, 2020",A45 Queen's pawn game,,,,,,
"Gumularz, S","Blohberger, F",½-½,9.4,"Oct 03, 2020",A05 Reti opening,,,,,,
"Tencati, G","Cumming, R",0-1,9.5,"Oct 03, 2020",C45 Scotch game,,,,,,
"Fischer, D","Barp, A",1-0,9.6,"Oct 03, 2020",B12 Caro-Kann defence,,,,,,
"Simonetto, A","Fecker, N",½-½,9.7,"Oct 03, 2020",A04 Reti opening,,,,,,
"Guo, A","Lu, M",1-0,1,"Sep 25, 2020",B03 Alekhine's defence,,,,,,
"Yoo, C","Hong, A",1-0,1,"Sep 25, 2020",C46 Three knights game,,,,,,
"Wang, J","Shlyakhtenko, R",½-½,1,"Sep 25, 2020","D12 Queen's Gambit Declined Slav, 4.e3 Bf5",,,,,,
"Shen, C","Yan, R",1-0,1,"Sep 25, 2020","A14 English, Neo-Catalan declined",,,,,,
"Lu, M","Wang, J",0-1,2,"Sep 26, 2020","C84 Ruy Lopez, closed defence",,,,,,
"Shlyakhtenko, R","Shen, C",½-½,2,"Sep 26, 2020","E70 King's Indian, 4.e4",,,,,,
"Yan, R","Yoo, C",0-1,2,"Sep 26, 2020","C16 French, Winawer, advance variation",,,,,,
"Hong, A","Guo, A",½-½,2,"Sep 26, 2020","E06 Catalan, closed, 5.Nf3",,,,,,
"Lu, M","Shlyakhtenko, R",0-1,3,"Sep 26, 2020",A01 Nimzovich-Larsen attack,,,,,,
"Guo, A","Yan, R",1-0,3,"Sep 26, 2020","B90 Sicilian, Najdorf",,,,,,
"Yoo, C","Shen, C",½-½,3,"Sep 26, 2020",B20 Sicilian defence,,,,,,
"Wang, J","Hong, A",½-½,3,"Sep 26, 2020","D45 Queen's Gambit Declined semi-Slav, 5.e3",,,,,,
"Yan, R","Wang, J",0-1,4,"Sep 26, 2020","C77 Ruy Lopez, Morphy defence",,,,,,
"Shlyakhtenko, R","Yoo, C",0-1,4,"Sep 26, 2020",B20 Sicilian defence,,,,,,
"Hong, A","Lu, M",1-0,4,"Sep 26, 2020",B01 Scandinavian (centre counter) defence,,,,,,
"Shen, C","Guo, A",0-1,4,"Sep 26, 2020","A14 English, Neo-Catalan declined",,,,,,
"Guo, A","Yoo, C",0-1,5,"Sep 27, 2020","B11 Caro-Kann, two knights, 3...Bg4",,,,,,
"Lu, M","Yan, R",1-0,5,"Sep 27, 2020",B20 Sicilian defence,,,,,,
"Hong, A","Shlyakhtenko, R",½-½,5,"Sep 27, 2020",B40 Sicilian defence,,,,,,
"Wang, J","Shen, C",½-½,5,"Sep 27, 2020","E95 King's Indian, orthodox, 7...Nbd7, 8.Re1",,,,,,
"Yoo, C","Wang, J",1-0,6,"Sep 27, 2020","C77 Ruy Lopez, Morphy defence",,,,,,
